row_id,v1_line_start,v1_line_end,claim_summary,evidence_class,source_anchor,verification_method,verified_by,verified_date,notes
P-001,1,1,"Title: 'An Organic Operator and AI Operator Collaborative Review of Active Inference Free Energy Minimization in Pursuit of Pure Unification and Simplification'",E,—,project-framing,Claude-P1,2026-04-25,"Aspirational. v2 will revise per Plan H.12."
P-002,3,5,"Operator attribution: Michael Polzin (organic, non-credentialed); AI operators (Anthropic Claude family + prior GPT-class peer-review pass)",E,—,project-framing,Claude-P1,2026-04-25,
P-003,9,9,"Draft status: 'first full draft; reviewable working document; not a final scientific authority'",E,—,project-framing,Claude-P1,2026-04-25,
P-004,11,11,"Title-phrase note: 'pursuit of pure unification and simplification' is aspirational; no unification claimed achieved",E,—,self-disclaimer,Claude-P1,2026-04-25,"v2 will likely retire 'unification' from title (Plan H.12)."
P-005,17,21,"Transparency claims: Michael non-credentialed; AI provisional; nothing authoritative by mere appearance; correction invited",E,—,project-framing,Claude-P1,2026-04-25,
P-006,32,37,"Dedication: Friston, Maren, Parr, Pezzulo, Beal, Blei, Wainwright, Jordan, AII, broader community",E,—,project-framing,Claude-P1,2026-04-25,
P-007,39,39,"Disclaimer: 'Acknowledgment is not endorsement; none of the people or institutions named has reviewed or approved this draft'",E,—,self-disclaimer,Claude-P1,2026-04-25,
P-008,47,51,"Master identity statement: F[q] = E_q[-ln p(y, eta|m)] - H[q] = -ln p(y|m) + KL(q || p(eta|y, m))",A,Audit §D.1, §D.2 derivation,re-derivation from definitions under (A1)-(A3),Claude-P1,2026-04-25,"Re-derived in audit §D from first principles. Cross-checked against SOURCE B Eqn 2.5 (line 1299)."
P-009,49,51,"Stated assumptions: p(y|m)>0, common support, integrability",A,Audit §D.5,assumption audit,Claude-P1,2026-04-25,"v2 should tighten A3 to expectation-finiteness (Plan §3.2)."
P-010,51,51,"Bound: F[q] >= -ln p(y|m); ELBO L(q) = -F[q] lower-bounds log evidence; equality iff q = p(eta|y, m) a.e.",A,Audit §D.3 Lemma 1,Gibbs inequality applied to KL,Claude-P1,2026-04-25,"Cross-confirmed by SOURCE B 5 times (lines 1397, 1452, 1605, 2284, 2433)."
P-011,53,53,"'Core algebra of audited manuscript is consistent with standard identity'",B,Maren_TR-2019-01v6.txt:42,direct read of SOURCE A Eqn 2,Claude-P1,2026-04-25,"Confirmed by audit §C; Eqn 2 algebraic content valid."
P-012,53,53,"Six interpretive issues in audited manuscript: q/p reversal, bound direction, posterior-vs-process, L expansion, integration, CVM derivation framing",A,Audit §C.E1-E10,direct line reads of SOURCE A,Claude-P1,2026-04-25,"All six items verified verbatim in audit §C against SOURCE A directly observed text."
P-013,55,55,"'Prior independent AI peer review (SOURCE C) reached substantively the same conclusions'",B,source_c_extracted.txt,direct read of extracted DOCX,Claude-P1,2026-04-25,
P-014,55,55,"'Contemporary canonical reference (Parr/Pezzulo/Friston 2022) states bound direction explicitly five times'",B,book_9780262369978 (1).txt:1397/1452/1605/2284/2433,direct quote at each cited line,Claude-P1,2026-04-25,"All 5 lines confirmed verbatim in audit §B."
P-015,57,57,"CVM material: 'promising proposal for an internal recognition architecture; not yet a derivation'",D,Maren_TR-2019-01v6.txt:327-367,direct read of Section 8,Claude-P1,2026-04-25,"Bridge requirements not supplied. See audit §C.E10."
P-016,61,61,"Overall confidence 8/10 on the mathematical core",E,—,self-rating,Claude-P1,2026-04-25,"Audit independently rates 8.5/10. v2 should reconcile per Plan H.11."
P-017,63,77,"Plain-language summary: free energy in active inference; conventions vary; manuscript flags drift",C,—,interpretive-synthesis,Claude-P1,2026-04-25,"Class C: pedagogical exposition not directly sourced."
P-018,86,98,"Preface: project intent (audit posture; ethics; accessibility); altruistic framing",E,—,project-framing,Claude-P1,2026-04-25,
P-019,107,144,"Method M.1-M.5: OODA, evidence classes, recursive loop, red/blue team, provenance",E,—,methodological-framework,Claude-P1,2026-04-25,
P-020,165,167,"Active inference as research program by Karl Friston",B,book_9780262369978 (1).txt Ch 2,direct read of SOURCE B Ch 2,Claude-P1,2026-04-25,
P-021,167,167,"Generative model + variational posterior + active inference triad; perception updates beliefs; action changes data; both reduce same quantity",B,book_9780262369978 (1).txt:1416-1419,direct read,Claude-P1,2026-04-25,"SOURCE B states explicitly at line 1416: 'Active Inference amounts to minimizing variational free energy by perception and action.'"
P-022,171,171,"Helmholtz F = U - TS analogy",B,Standard thermodynamics,canonical reference,Claude-P1,2026-04-25,"Class B: standard textbook thermodynamics."
P-023,171,171,"'Variational free energy structurally similar to thermodynamic free energy; physical interpretation NOT automatic'",B,Maren_TR-2019-01v6.txt:68 (Sengupta quote via Maren),direct read of SOURCE A line 68,Claude-P1,2026-04-25,"Sengupta-Stemmler-Friston (2013) quote: 'variational free energy is not the Helmholtz free energy.' Layer 2 inspection of Sengupta primary text required (Plan §2.4)."
